intron_id,avg_PSI_g_AM2,avg_PSI_w_AM2,avg_PSI_g_AM5,avg_PSI_w_AM5,avg_PSI_g_AM8,avg_PSI_w_AM8,avg_PSI_g_AM11,avg_PSI_w_AM11,avg_PSI_g_PM2,avg_PSI_w_PM2,avg_PSI_g_PM5,avg_PSI_w_PM5,avg_PSI_g_PM8,avg_PSI_w_PM8,avg_PSI_g_PM11,avg_PSI_w_PM11,cluster
000049F_DK2_H2_106405_106432,-1.15188205080596,0.925816655166272,0.65664111431157,0.536072903303735,-1.90613434757591,0.934228390817982,-0.610727057212656,1.0351692186385,-2.09119253191352,0.774405413435503,0.317367776359288,-0.142473772600829,-0.605119233444849,0.353818630850029,0.695895880686214,0.278113009984644,2
000051F_DK2_H1_39474_39505,-1.25123799371983,0.218652403962699,-1.42752552452297,0.516603160249698,-0.744721708031931,0.109403793324133,0.340315629446557,-0.906111701020722,2.2620980074977,-1.34062322060593,0.978426832494546,0.879109913732213,0.653163923547906,-0.171166502179458,-0.543604947538207,0.427217933363598,2
000051F_DK2_H1_105234_105256,-2.01790766269767,0.295456885192494,-1.11896437370774,2.12477504670347,-0.220021084717815,0.936661189227269,1.06238752335173,-0.446328486141853,0.0251452668248932,-0.339461102136057,-0.810934855102803,-0.113153700712019,0.320602152017387,1.21954544100732,-0.565768503560095,-0.352033735548504,2
000052F_DK2_H2_102880_102905,-0.981296576620099,0.785111856246791,-1.49450983752061,-0.19954149315536,-1.27370878341225,2.13378856512489,0.295768979574207,1.79960318593386,0.206255038719466,-0.778398310682686,-0.289055434010101,-0.104059956243636,-0.8082362909676,0.43302368888481,0.0272271570099835,0.248028211118345,2
000052F_DK2_H2_103089_103108,-1.58326827088995,0.96541254767914,-1.7045549069757,0.977042773057226,-1.36727837101121,1.21130874138724,0.633120394019545,0.538417130226561,0.101452948164195,-0.0264795309947486,-0.579745966837973,0.322427230347825,-1.08150711886396,0.880678048495943,-0.358771684654343,1.07174603685021,2
000052F_DK2_H2_103274_103305,-1.52614136132986,2.0521476156404,-0.411264012161889,1.41571064585589,-1.07217932693811,0.830455670144958,-0.38010975489971,0.699162728825775,0.476632319810211,-0.0908202231794768,-0.0596659659172976,-1.46383284680551,-0.662723374349476,0.352015290761495,-0.733933105234456,0.574545699777059,2
000054F_DK2_H2_88993_89017,-1.58365308659016,0.978036301828209,-1.66320865765905,1.03372520157643,-0.318719506594754,0.954169630507541,0.254080605101279,0.540480660949295,0.882569616545536,0.309769504849504,-1.99734205614841,0.572302889376852,0.930302959186873,-0.270986163953418,-0.37440840634298,-0.24711949263275,2
000055F_DK2_H1_1025_1044,-1.76664953149598,0.866828038374088,-0.764848269153607,1.09478281663163,0.428914911721435,1.04679233699847,1.49670308355941,1.01679828722774,0.0929815542892623,-0.428914911721434,-0.710858979566294,-1.16676853608138,-0.872826848328234,0.626875640208251,-1.22675663562284,0.266947042959494,2
000055F_DK2_H1_32076_32123,-1.60471598206312,0.428738285637483,-0.160110446822502,1.02584190687027,0.497529025410846,1.85133078415062,-0.438025035506887,0.406725248910007,-0.231652816186799,-0.636142366054171,-0.151855558049698,0.635110504957571,-2.01195716152142,1.32576953228213,-0.498560886507446,-0.438025035506887,2
000055F_DK2_H1_32434_32462,-0.69941203741859,0.979378630110488,-0.146541072390985,2.23443607626805,0.616178726077755,-0.38867434174614,-0.804336454139157,-0.38867434174614,0.708996479330565,-0.513776530912971,-0.190932171772763,-0.130398854433975,-1.21999856653217,0.692854261373555,-1.81322507645231,1.06412527438479,2
000056F_DK2_H1_17923_17947,-0.978612048615069,1.52856677251428,1.35732338543189,0.878720072817008,-0.240948227337081,0.233264229198769,-0.605389281897039,0.132274539380949,-0.240948227337081,0.163010531934198,-1.05764745803771,0.0444574178002357,-1.55381419496874,0.883110928896044,-1.69432158949788,1.15095314971722,2
000056F_DK2_H1_70512_70537,-1.41068168176408,1.22535753488257,0.289434816268614,0.678687078444449,0.15777596288561,0.55847682100779406,1.3283948983997,-0.165646872598724,-0.775284606741761,0.0776357912611732,0.34095349802718,0.0976708341672825,-1.68831013346302,0.366712838906463,-2.0460787567864,0.964901977103152,2
000056F_DK2_H1_109812_109842,-1.35102818448932,0.766278027662647,-1.5004850935824,0.925698730695266,-0.882729869331006,1.04526425796973,-0.135445323865605,0.462382312506717,0.98049959736273,1.35414187009543,-1.16171609963809,0.766278027662647,-0.379558275384302,0.661658191297491,-1.43073853600563,-0.120499632956296,2
000057F_DK2_H1_109858_109878,-0.989159571394797,0.634460937207775,-1.43877755839243,0.964180794339374,-0.634460937207775,0.929210506461781,-0.134885396099291,0.709397268374047,-0.379677411242448,0.444622231586552,-1.42379029215918,1.39381575969267,-1.08907467961649,1.04910863632782,-1.07408741338324,1.03911712550565,2
000057F_DK2_H2_27502_27524,-0.0530910052772412,1.66544556158473,-0.515666100762111,1.15801469926496,-0.779193730917128,-0.125981626383947,-0.425954567092318,-0.0671084324131458,0.0562449263828191,1.22249486409013,-0.585753236441637,1.81122680379814,-1.29223156409126,-1.69873695103251,-0.361474402267154,-0.00823523844234501,2
000057F_DK2_H2_27909_27943,-0.721394785784383,0.576779514042059,-0.566690076478641,0.341359304228974,-0.674310743821766,2.66865623552405,-1.10479341319426,-0.748299952620164,0.48933772182577,0.354811887646864,0.926546682907214,-1.21241408053739,0.839104890690925,0.132844261251669,-0.43889053400868,-0.862646911672234,2
000057F_DK2_H2_56872_56895,-1.37492198363941,-0.478526768815676,0.673981364529122,0.323511054973979,0.761598941917907,1.81300987058334,-0.835736892016111,0.451567514234512,-0.741379500982034,1.33448310176766,-0.984012792212518,1.38840161092999,-0.370689750491017,-0.822257264725529,0.087617577388786,-1.226646083443,2
000058F_DK2_H1_26115_26148,-1.49745554672501,1.40785402341025,-0.526904533120874,1.26195419783577,-0.0130834082716246,0.557828952671986,0.716415719600766,-1.21834283693036,-0.476156767703664,0.234311948137274,-0.304883059420581,-0.545934945152328,-0.641087005309596,1.30635849257583,-1.50379901740216,1.24292378580432,2
000058F_DK2_H1_53105_53132,-1.53905145370978,0.234770560735391,-0.616021898681752,0.242796904692156,-0.0862831975352289,2.53833127632709,-0.479574051416738,0.965167860801051,-0.286941796454366,-0.776548777817061,-0.784575121773827,-0.319047172281428,-0.840759529471185,0.957141516844285,-0.375231579978787,1.16582645972019,2
